latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.971,123.313,313.3,1,1,2020-02-06,1415,T,82,6.0NRT,296.5,8.6,N
-19.524,169.451,307.4,1,1,2020-02-06,1405,A,54,6.0NRT,272,10.3,N
-23.352,149.526,300.7,1.9,1.3,2020-02-06,1545,A,28,6.0NRT,289.4,11.8,N
-20.819,119.701,318.5,1,1,2020-02-06,1725,A,97,6.0NRT,291.3,13.8,N
-32.32,119.396,322.3,1.2,1.1,2020-02-06,1725,A,98,6.0NRT,278.4,23.7,N
-32.39,119.397,340.3,1.2,1.1,2020-02-06,1725,A,100,6.0NRT,292.3,54.2,N
-32.391,119.409,361,1.2,1.1,2020-02-06,1725,A,100,6.0NRT,292.7,111.1,N
-32.393,119.421,310.4,1.2,1.1,2020-02-06,1725,A,55,6.0NRT,281.8,11.4,N
-32.401,119.407,322.5,1.2,1.1,2020-02-06,1725,A,100,6.0NRT,290.7,24.4,N
-32.402,119.42,348.9,1.2,1.1,2020-02-06,1725,A,100,6.0NRT,294.2,73.6,N
-32.404,119.432,318,1.2,1.1,2020-02-06,1725,A,51,6.0NRT,290.6,19.9,N
-32.403,119.413,330.5,1.2,1.1,2020-02-06,1725,A,100,6.0NRT,292.4,35.8,N
-32.404,119.425,329.1,1.2,1.1,2020-02-06,1725,A,100,6.0NRT,294.9,34.5,N
-13.968,123.316,310.5,1.1,1.1,2020-02-06,1720,A,71,6.0NRT,296.4,7.9,N
-13.97,123.326,307.1,1.1,1.1,2020-02-06,1720,A,51,6.0NRT,296.4,5,N
-16.928,145.762,312.6,3.1,1.7,2020-02-07,0110,T,0,6.0NRT,291.8,37.9,D
-19.737,140.649,318,1.4,1.2,2020-02-07,0110,T,43,6.0NRT,297.3,17.3,D
-32.247,119.373,356.7,3.5,1.8,2020-02-07,0250,T,98,6.0NRT,307.6,395.4,D
-32.249,119.411,333.2,3.6,1.8,2020-02-07,0250,T,51,6.0NRT,292.8,119.7,D
-32.263,119.372,342.6,3.5,1.8,2020-02-07,0250,T,77,6.0NRT,304.1,200.7,D
-32.266,119.41,329.7,3.6,1.8,2020-02-07,0250,T,48,6.0NRT,287.9,77.3,D
-32.255,119.368,355.5,3.5,1.8,2020-02-07,0250,T,92,6.0NRT,306.8,374.5,D
-32.32,119.363,360.1,3.5,1.8,2020-02-07,0250,T,100,6.0NRT,307.1,436.7,D
-32.322,119.4,358.3,3.6,1.8,2020-02-07,0250,T,99,6.0NRT,305.1,397.9,D
-32.064,115.914,321.2,2.1,1.4,2020-02-07,0250,T,60,6.0NRT,301.9,16.8,D
-32.336,119.361,351.3,3.5,1.8,2020-02-07,0250,T,95,6.0NRT,306.5,306.8,D
-32.338,119.399,368.8,3.6,1.8,2020-02-07,0250,T,100,6.0NRT,305.4,589.6,D
-32.341,119.437,349,3.6,1.8,2020-02-07,0250,T,94,6.0NRT,299.9,276.4,D
-32.352,119.359,354.2,3.5,1.8,2020-02-07,0250,T,97,6.0NRT,304,358.3,D
-32.354,119.397,387.6,3.6,1.8,2020-02-07,0250,T,100,6.0NRT,308.6,1068.6,D
-32.357,119.436,330.2,3.6,1.8,2020-02-07,0250,T,67,6.0NRT,302.1,92.6,D
-32.37,119.396,350,3.6,1.8,2020-02-07,0250,T,94,6.0NRT,300.3,303.9,D
-32.311,119.357,335.7,3.5,1.8,2020-02-07,0250,T,63,6.0NRT,304.7,123.6,D
-32.314,119.395,336.3,3.6,1.8,2020-02-07,0250,T,81,6.0NRT,303.9,118.2,D
-32.327,119.355,354.7,3.5,1.8,2020-02-07,0250,T,97,6.0NRT,307.4,354.1,D
-32.33,119.393,374.1,3.6,1.8,2020-02-07,0250,T,100,6.0NRT,306.3,697.4,D
-32.332,119.431,353.7,3.6,1.8,2020-02-07,0250,T,96,6.0NRT,301.4,341.6,D
